"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test to verify Test Cases heading is visible

:param get_webdriver_chrome:
:return: None
","392","test_verify_test_cases_page","tests","Mon May 12 17:46:10 GMT 2025","passed","Mon May 12 17:46:11 GMT 2025","","test_cases","",""
"
Test to verify to leave data and download file  via
Contact Us form are possible

:param page:
:return: None
","2239","test_contact_us_form[chromium]","tests","Mon May 12 17:46:11 GMT 2025","passed","Mon May 12 17:46:13 GMT 2025","","test_contact_us","",""
"
Test to verify a user can't register account with existing email

:param signup_and_logout_real_user:
:return: None
","884","test_register_user_with_existing_email[chromium]","tests","Mon May 12 17:46:28 GMT 2025","passed","Mon May 12 17:46:29 GMT 2025","","test_register","",""
"
Test to verify a user can log out successfully

:param signup_and_logout_real_user:
:return: None
","2402","test_logout_user[chromium]","tests","Mon May 12 17:46:22 GMT 2025","passed","Mon May 12 17:46:25 GMT 2025","","test_logout","",""
"
Test to verify a user can log in with correct credentials

:param signup_and_logout_real_user:
:return: None
","2107","test_login_user_with_correct_email_and_password[chromium]","tests","Mon May 12 17:46:17 GMT 2025","passed","Mon May 12 17:46:19 GMT 2025","","test_login","",""
"
Test to verify a user can subscribe in the home page

:param get_webdriver_chrome:
:return: None
","1290","test_verify_subscription_in_home_page","tests","Mon May 12 17:46:30 GMT 2025","passed","Mon May 12 17:46:31 GMT 2025","","test_home","",""
"
Test to verify product page and products list details download and seen properly

:param get_webdriver_chrome:
:return: None
","1269","test_verify_all_products_and_product_detail_page","tests","Mon May 12 17:46:34 GMT 2025","passed","Mon May 12 17:46:36 GMT 2025","","test_products","",""
"
Test to verify a new user can register an account

:param get_webdriver_chrome:
:return:
","2844","test_register_user","tests","Mon May 12 17:46:41 GMT 2025","passed","Mon May 12 17:46:44 GMT 2025","","test_register","",""
"
Test to verify a user can't log in with incorrect credentials

:param get_webdriver_chrome:
:return: None
","463","test_login_user_with_incorrect_email_and_password","tests","Mon May 12 17:46:33 GMT 2025","passed","Mon May 12 17:46:33 GMT 2025","","test_login","",""
"
Test to verify products search works properly

:param get_webdriver_chrome:
:return: products list
","2408","test_search_product","tests","Mon May 12 17:46:37 GMT 2025","passed","Mon May 12 17:46:39 GMT 2025","","test_products","",""
